total_focos,ano,mes,estado
532,2025,10,AC
7,2025,10,AL
381,2025,10,AM
104,2025,10,AP
1499,2025,10,BA
499,2025,10,CE
32,2025,10,DF
74,2025,10,ES
799,2025,10,GO
1891,2025,10,MA
1316,2025,10,MG
195,2025,10,MS
898,2025,10,MT
999,2025,10,PA
83,2025,10,PB
627,2025,10,PE
1796,2025,10,PI
15,2025,10,PR
60,2025,10,RJ
139,2025,10,RN
272,2025,10,RO
78,2025,10,RR
15,2025,10,RS
3,2025,10,SC
2,2025,10,SE
165,2025,10,SP
1766,2025,10,TO
