total_focos,ano,mes,estado
6,1999,4,SE
291,1999,4,SP
76,1999,4,TO
1,1999,5,AL
136,1999,5,AM
9,1999,5,AP
76,1999,5,BA
5,1999,5,CE
16,1999,5,ES
98,1999,5,GO
3,1999,5,MA
51,1999,5,MG
206,1999,5,MS
730,1999,5,MT
10,1999,5,PA
3,1999,5,PB
6,1999,5,PE
9,1999,5,PI
57,1999,5,PR
7,1999,5,RJ
1,1999,5,RN
10,1999,5,RO
24,1999,5,RR
13,1999,5,RS
1,1999,5,SC
500,1999,5,SP
202,1999,5,TO
2,1999,6,AC
34,1999,6,AM
4,1999,6,AP
62,1999,6,BA
16,1999,6,CE
3,1999,6,DF
6,1999,6,ES
252,1999,6,GO
34,1999,6,MA
133,1999,6,MG
125,1999,6,MS
2201,1999,6,MT
37,1999,6,PA
2,1999,6,PB
7,1999,6,PE
47,1999,6,PI
31,1999,6,PR
8,1999,6,RJ
4,1999,6,RN
12,1999,6,RO
5,1999,6,RR
9,1999,6,RS
522,1999,6,SP
144,1999,6,TO
10,1999,7,AC
20,1999,7,AM
11,1999,7,AP
107,1999,7,BA
84,1999,7,CE
4,1999,7,DF
9,1999,7,ES
311,1999,7,GO
260,1999,7,MA
319,1999,7,MG
1297,1999,7,MS
3926,1999,7,MT
993,1999,7,PA
2,1999,7,PB
2,1999,7,PE
124,1999,7,PI
94,1999,7,PR
14,1999,7,RJ
7,1999,7,RN
157,1999,7,RO
6,1999,7,RR
10,1999,7,RS
2,1999,7,SC
683,1999,7,SP
429,1999,7,TO
92,1999,8,AC
3,1999,8,AL
296,1999,8,AM
40,1999,8,AP
453,1999,8,BA
137,1999,8,CE
15,1999,8,DF
60,1999,8,ES
1198,1999,8,GO
903,1999,8,MA
1193,1999,8,MG
4356,1999,8,MS
18563,1999,8,MT
6216,1999,8,PA
4,1999,8,PB
7,1999,8,PE
500,1999,8,PI
939,1999,8,PR
89,1999,8,RJ
39,1999,8,RN
2468,1999,8,RO
49,1999,8,RR
24,1999,8,RS
51,1999,8,SC
1210,1999,8,SP
2034,1999,8,TO
235,1999,9,AC
3,1999,9,AL
243,1999,9,AM
22,1999,9,AP
1273,1999,9,BA
134,1999,9,CE
12,1999,9,DF
64,1999,9,ES
1898,1999,9,GO
1741,1999,9,MA
2687,1999,9,MG
2971,1999,9,MS
11726,1999,9,MT
4423,1999,9,PA
15,1999,9,PB
79,1999,9,PE
887,1999,9,PI
878,1999,9,PR
192,1999,9,RJ
35,1999,9,RN
3748,1999,9,RO
23,1999,9,RR
19,1999,9,RS
101,1999,9,SC
910,1999,9,SP
4320,1999,9,TO
91,1999,10,AC
4,1999,10,AL
499,1999,10,AM
39,1999,10,AP
1308,1999,10,BA
314,1999,10,CE
8,1999,10,DF
23,1999,10,ES
743,1999,10,GO
3216,1999,10,MA
1361,1999,10,MG
2056,1999,10,MS
6111,1999,10,MT
5056,1999,10,PA
52,1999,10,PB
185,1999,10,PE
1474,1999,10,PI
451,1999,10,PR
30,1999,10,RJ
41,1999,10,RN
2026,1999,10,RO
52,1999,10,RR
